body,date,retweets,favorites,mentions,hashtags,geo,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
time deadpool,2016-02-21 16:31:32,1588,3953,,,,0.0,0.0,0.0,1.0,NN,60
deadpool gnd filme,2016-02-21 18:59:58,0,0,,,,0.0,0.0,0.0,1.0,NN,60
rt ha sido parte de varios grupos dentro de ha formado parte de la shield avengers unity squad,2016-02-21 17:05:19,12,10,@20centuryfox_ve,#Deadpool,,0.5859,0.0,0.231,0.769,PP,60
deadpool humor retail,2016-02-21 10:11:27,131,64,,,,0.2732,0.0,0.512,0.488,PP,60
om deadpool u dont need hero get good u need good girl bring hero,2016-02-21 12:17:32,139,48,,,,-0.0124,0.298,0.295,0.407,NN,60
celebrate deadpool historic box office run deadpool pancakes,2016-02-21 17:29:20,157,369,,,,0.5719,0.0,0.346,0.654,PP,60
deadpool good recommend,2016-02-21 18:59:57,0,0,,,,0.6597,0.0,0.844,0.156,PP,60
celebrate deadpool historic box office run deadpool pancakes,2016-02-21 17:29:20,157,369,,,,0.5719,0.0,0.346,0.654,PP,60
great lakes,2016-02-15 16:15:07,9,7,,#Deadpool #PodernFamily,,0.6249,0.0,0.804,0.196,PP,60
deadpool part ima blow via,2016-02-21 18:59:56,0,0,@YouTube,,,0.0,0.0,0.0,1.0,NN,60
deadpool,2016-02-21 18:59:55,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool es una gran,2016-02-16 18:39:36,1408,4291,,,,0.0,0.0,0.0,1.0,NN,60
recien de ver deadpool exelencia hecha pelicula,2016-02-21 18:59:53,0,0,,,,0.0,0.0,0.0,1.0,NN,60
wanna see deadpool,2016-02-21 18:59:24,1,2,,,,0.0,0.0,0.0,1.0,NN,60
deadpool pretty damn good lotta hit miss jokes hit oooooooooh baby grand slam,2016-02-21 18:59:53,0,3,,,,0.6369,0.288,0.462,0.25,PP,60
dear deadpool thanks making burned face cool darth,2016-02-21 14:43:36,1045,2062,,,,0.7783,0.0,0.609,0.391,PP,60
vi deadpool e tenho vontade de pq todo filme ryan eu apx mais,2016-02-21 18:59:52,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool one funniest movies seen,2016-02-21 18:59:51,0,0,,,,0.5574,0.0,0.474,0.526,PP,60
swear see another post parent bitching deadpool movie going lose,2016-02-21 18:59:51,1,0,,#deadpoolisntforyourfuckingbrat,,-0.6124,0.462,0.0,0.538,Neg,60
deadpool well done,2016-02-20 16:18:39,22351,52525,@VancityReynolds,#killedit #maximumeffort,,0.2732,0.0,0.512,0.488,PP,60
assistimos deadpool hje e tenho uma coisa tenho um novo,2016-02-21 18:59:50,0,1,,,,0.0,0.0,0.0,1.0,NN,60
vai fazer um sobre filme deadpool,2016-02-21 18:59:50,0,0,@izzynobre,,,0.0,0.0,0.0,1.0,NN,60
saw deadpool last night theater showing loved,2016-02-21 18:59:50,0,0,,,,0.5994,0.0,0.394,0.606,PP,60
deadpool awesome,2016-02-21 18:59:49,0,0,,,,0.6249,0.0,0.804,0.196,PP,60
reminded love dmx,2016-02-21 18:59:48,0,1,,#Deadpool,,0.6369,0.0,0.677,0.323,PP,60
jogando deadpool game,2016-02-21 18:59:48,0,0,,,,0.0,0.0,0.0,1.0,NN,60
hey come improv show basement bring deadpool suit let u play freeze,2016-02-21 18:59:47,1,2,@VancityReynolds @MSU @9pm,,,0.3818,0.0,0.286,0.714,PP,60
proposal deadpool deadpool electric boogaloo,2016-02-21 18:59:47,0,0,@VancityReynolds,,,0.0,0.0,0.0,1.0,NN,60
vou ele chamou pra ir cinema ver deadpool e ave maria tremendo toda,2016-02-21 18:59:47,0,0,@zaynvicio,,,0.0,0.0,0.0,1.0,NN,60
whiz kids step marketing message,2016-02-21 18:59:46,0,0,,#content #Deadpool #Marketing #Humor #SocialMedia,,0.0,0.0,0.0,1.0,NN,60
barely wrote deadpool let alone developed character see fuck,2016-02-21 18:59:45,0,0,@robertliefeld,#deadpool,,-0.6705,0.44,0.0,0.56,Neg,60
deadpool,2016-02-21 18:59:45,0,0,,,,0.0,0.0,0.0,1.0,NN,60
ah ainda estou esperando convite p ver deadpool,2016-02-21 18:59:44,0,0,,,,0.0,0.0,0.0,1.0,NN,60
took day steal deadpool,2016-02-21 18:59:42,0,0,,,,-0.4939,0.516,0.0,0.484,Neg,60
love post deadpool another great anniversary,2016-02-21 18:59:40,1,1,,#anniversarymovie,,0.8519,0.0,0.675,0.325,PP,60
um personagem que pode falar e fazer qlqr coisa e avacalhar qlqr um podia ter sido mais bem explorado que contar piada de pinto,2016-02-21 18:59:38,0,0,,#deadpool,,0.0,0.0,0.0,1.0,NN,60
deadpool box office russia like proud,2016-02-21 18:59:37,0,0,,,,0.6808,0.0,0.583,0.417,PP,60
finally got see deadpool,2016-02-21 18:59:37,0,0,,#Deadpool #finally #chimichanga #marvel #gotitright,,0.0,0.0,0.0,1.0,NN,60
neutral,2016-02-21 18:59:36,5,2,@_dpiddy,#deadpool #spiderman #cosplay #concomics #dpiddy #2014,,0.0,0.0,0.0,1.0,NN,60
really enjoyed killed kind,2016-02-21 18:59:32,0,0,@VancityReynolds,#DeadPool,,0.3566,0.367,0.557,0.077,PP,60
wanna see deadpool cable gonna next movie,2016-02-21 18:59:32,0,1,,,,0.0,0.0,0.0,1.0,NN,60
foi preciso atores para criar em deadpool,2016-02-21 18:59:30,0,0,,,,0.0,0.0,0.0,1.0,NN,60
alguien que invite ver deadpool bueno,2016-02-21 18:59:29,0,1,,,,0.1531,0.0,0.242,0.758,PP,60
regina wants statue deadpool yo actually want visit happens xd,2016-02-21 18:59:28,0,0,,,,0.6249,0.0,0.389,0.611,PP,60
want draw deadpool tbh,2016-02-21 18:59:27,0,1,,,,0.0772,0.0,0.302,0.698,PP,60
