body,date,retweets,favorites,mentions,hashtags,geo
Time for some deadpool,2016-02-21 16:31:32,1588,3953,,,
Deadpool é gnd filme,2016-02-21 18:59:58,0,0,,,
"RT @20centuryfox_ve #Deadpool ha sido parte de varios grupos dentro de Marvel, ha formado parte de la X-Force, Shield y Avengers Unity Squad",2016-02-21 17:05:19,12,10,@20centuryfox_ve,#Deadpool,
Deadpool humor in the retail store. pic.twitter.com/OKD2Mbv9z7,2016-02-21 10:11:27,131,64,,,
"Om Deadpool bilang: U dont need to be a hero to get a good girl, but u need a good girl to bring out the hero in you.",2016-02-21 12:17:32,139,48,,,
Celebrate Deadpool 's Historic Box Office Run With DEADPOOL PANCAKES http:// bit.ly/20OxYUO pic.twitter.com/yOKs7Z29Vx,2016-02-21 17:29:20,157,369,,,
Deadpool was good I'd recommend it,2016-02-21 18:59:57,0,0,,,
Celebrate Deadpool 's Historic Box Office Run With DEADPOOL PANCAKES http:// bit.ly/20OxYUO pic.twitter.com/yOKs7Z29Vx,2016-02-21 17:29:20,157,369,,,
"Episode21 is LIVE! Feat. #Deadpool , The Great Lakes Avengers, & 60s Spiderman! http:// buff.ly/1PN00L5 #PodernFamily pic.twitter.com/npNi0ETlvV",2016-02-15 16:15:07,9,7,,#Deadpool #PodernFamily,
DEADPOOL PART 1 - IMA BLOW YOUR MIND!!!: http:// youtu.be/w1UKf7d4BtM?a via @YouTube,2016-02-21 18:59:56,0,0,@YouTube,,
soooo... Deadpool was awesome...,2016-02-21 18:59:55,0,0,,,
Deadpool es una GRAN película,2016-02-16 18:39:36,1408,4291,,,
"Recien de ver deadpool , exelencia hecha pelicula",2016-02-21 18:59:53,0,0,,,
I wanna see Deadpool again.,2016-02-21 18:59:24,1,2,,,
Deadpool was pretty damn good Lotta hit and miss jokes but when it hit oooooooooh baby grand slam,2016-02-21 18:59:53,0,3,,,
"Dear Deadpool , Thanks for making having a burned face cool again. Sincerely, Darth",2016-02-21 14:43:36,1045,2062,,,
"Vi deadpool e tenho vontade de chorar, pq todo filme do Ryan eu me apx mais",2016-02-21 18:59:52,0,0,,,
Deadpool has to be one of the funniest movies I've seen,2016-02-21 18:59:51,0,0,,,
