username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BarackObama;2017-09-11 11:32;351065;1385480;"We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.";;;;"907265689832103936";https://twitter.com/BarackObama/status/907265689832103936
BarackObama;2017-09-08 17:34;31684;238347;"Proud of these McKinley Tech students—inspiring young minds that make me hopeful about our future. pic.twitter.com/nqYC1mjjTB";;;;"906269510231056385";https://twitter.com/BarackObama/status/906269510231056385
BarackObama;2017-09-07 19:06;101914;336314;"Americans always answer the call. http:// OneAmericaAppeal.org pic.twitter.com/ktEvL6s89d";;;;"905930380783620097";https://twitter.com/BarackObama/status/905930380783620097
BarackObama;2017-09-05 14:52;390650;935146;"To target hopeful young strivers who grew up here is wrong, because they’ve done nothing wrong. My statement: http://www. facebook.com/barackobama/";;;;"905141484386750469";https://twitter.com/BarackObama/status/905141484386750469
BarackObama;2017-08-27 19:14;249217;842406;"Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one way you can help now. https:// twitter.com/redcross/statu s/901546157238833152 …";;;;"901946021437206528";https://twitter.com/BarackObama/status/901946021437206528
BarackObama;2017-08-17 15:15;323812;1632027;"Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo.";;;;"898261944095789056";https://twitter.com/BarackObama/status/898261944095789056
BarackObama;2017-08-12 20:06;415606;1418202;""...For love comes more naturally to the human heart than its opposite." - Nelson Mandela";;;;"896523357272911872";https://twitter.com/BarackObama/status/896523357272911872
BarackObama;2017-08-12 20:06;502434;1588982;""People must learn to hate, and if they can learn to hate, they can be taught to love..."";;;;"896523304873238528";https://twitter.com/BarackObama/status/896523304873238528
BarackObama;2017-08-12 20:06;1712808;4603734;""No one is born hating another person because of the color of his skin or his background or his religion..." pic.twitter.com/InZ58zkoAm";;;;"896523232098078720";https://twitter.com/BarackObama/status/896523232098078720
BarackObama;2017-07-19 20:49;418973;2108610;"John McCain is an American hero & one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell, John.";;;;"887836712822558720";https://twitter.com/BarackObama/status/887836712822558720
BarackObama;2017-06-22 15:41;132584;448315;"Health care has always been about something bigger than politics: it's about the character of our country. https://www. facebook.com/barackobama/po sts/10154996557026749 …";;;;"877974755592228868";https://twitter.com/BarackObama/status/877974755592228868
BarackObama;2017-06-18 11:09;258425;1374055;"Of all that I've done in my life, I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dad, Happy Father's Day! https:// twitter.com/michelleobama/ status/876454925131288580 …";;;;"876456804305252353";https://twitter.com/BarackObama/status/876456804305252353
BarackObama;2017-06-02 13:35;73133;393063;"On this National Gun Violence Awareness Day, let your voice be heard and show your commitment to reducing gun violence. pic.twitter.com/eXkV4WmkqA";;;;"870695481290117120";https://twitter.com/BarackObama/status/870695481290117120
BarackObama;2017-05-29 09:09;133085;710308;"Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country we love. pic.twitter.com/y7IQltbEz9";;;;"869178832082874369";https://twitter.com/BarackObama/status/869178832082874369
BarackObama;2017-05-27 09:15;76105;499624;"Good to see my friend Prince Harry in London to discuss the work of our foundations & offer condolences to victims of the Manchester attack. https:// twitter.com/kensingtonroya l/status/868418451970379776 …";;;;"868455601663332353";https://twitter.com/BarackObama/status/868455601663332353
BarackObama;2017-05-25 10:13;43585;221295;"Through faith, love, and resolve the character of the people of Manchester has shown itself. Our thoughts & prayers are with you. https:// twitter.com/justinwelby/st atus/867738559108837377 …";;;;"867745464329883648";https://twitter.com/BarackObama/status/867745464329883648
BarackObama;2017-05-23 12:56;225542;1047763;"Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK.";;;;"867061620027076608";https://twitter.com/BarackObama/status/867061620027076608
BarackObama;2017-05-22 17:16;10032;84297;"Excited to hear from Sierra, Imani, Filiz, and Benedikt who are making a difference at home and abroad. See you in Berlin! https:// twitter.com/obamafoundatio n/status/866758362658111488 …";;;;"866764702600359937";https://twitter.com/BarackObama/status/866764702600359937
BarackObama;2017-05-14 10:01;113754;741830;"Happy Mother's Day to my love and partner on this journey @MichelleObama , and to all the wonderful, hardworking mothers out there.";;@MichelleObama;;"863756100948156416";https://twitter.com/BarackObama/status/863756100948156416
BarackObama;2017-05-03 15:42;24303;123138;"We're rolling up our sleeves again, back where it all started. Join us at http:// Obama.org . https:// twitter.com/obamafoundatio n/status/859830987198537731 …";;;;"859855649689174019";https://twitter.com/BarackObama/status/859855649689174019
BarackObama;2017-05-02 13:19;131657;510107;"Well said, Jimmy. That's exactly why we fought so hard for the ACA, and why we need to protect it for kids like Billy. And congratulations! https:// twitter.com/jimmykimmel/st atus/859253161873125376 …";;;;"859457313232605184";https://twitter.com/BarackObama/status/859457313232605184
BarackObama;2017-03-23 09:00;145832;824806;"My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally.";;;;"844896595179180034";https://twitter.com/BarackObama/status/844896595179180034
BarackObama;2017-03-19 11:51;68260;408067;"Chuck Berry rolled over everyone who came before him – and turned up everyone who came after. We'll miss you, Chuck. Be good.";;;;"843490091519623169";https://twitter.com/BarackObama/status/843490091519623169
BarackObama;2017-03-08 16:14;52522;276978;"On International Women’s Day, @MichelleObama and I are inspired by all of you who embrace your power to drive change. https:// twitter.com/obamafoundatio n/status/839584161442775040 …";;@MichelleObama;;"839585255703080968";https://twitter.com/BarackObama/status/839585255703080968
BarackObama;2017-03-02 10:22;18749;106687;"Humbled to be recognized by a family with a legacy of service. Who's your #ProfileInCourage ? Tell me about them: https://www. obama.org/your-voice/ https:// twitter.com/JFKLibrary/sta tus/837318374233354248 …";;;#ProfileInCourage;"837322131834875904";https://twitter.com/BarackObama/status/837322131834875904
BarackObama;2017-02-17 14:37;27163;119141;"We asked. You answered. https:// medium.com/@ObamaFoundati on/we-asked-and-you-answered-26de78979a64 …";;@ObamaFoundati;;"832675462325243906";https://twitter.com/BarackObama/status/832675462325243906
BarackObama;2017-02-14 10:34;262936;1118386;"Happy Valentine’s Day, @michelleobama ! Almost 28 years with you, but it always feels new. pic.twitter.com/O0UhJWoqGN";;@michelleobama;;"831527113211645959";https://twitter.com/BarackObama/status/831527113211645959
BarackObama;2017-01-22 13:07;36166;241276;"I read letters like these every single day. It was one of the best parts of the job – hearing from you. https:// nyti.ms/2jAhB2P";;;;"823230505546117120";https://twitter.com/BarackObama/status/823230505546117120
