username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KatherineW1971;2017-10-13 19:59;0;1;"IT- is really good. Going to see Happy Death Day - tonite. Hope it’s good.";;;;"918989682452639751";https://twitter.com/KatherineW1971/status/918989682452639751
sebsbeanie;2017-10-13 19:59;0;1;"yall i just saw happy death day and let's just say i have a new white man added to my list";;;;"918989616190971904";https://twitter.com/sebsbeanie/status/918989616190971904
marcosmejia_o4;2017-10-13 19:59;0;0;"trying to watch happy death day";;;;"918989585857650688";https://twitter.com/marcosmejia_o4/status/918989585857650688
mikellechloe_;2017-10-13 19:59;0;0;"so excited to see happy death day tonight";;;;"918989576257003520";https://twitter.com/mikellechloe_/status/918989576257003520
HaydenPinafore;2017-10-13 19:59;1;8;"#HappyDeathDay was so much fun! Really nice little birthday gift for me. :p";;;#HappyDeathDay;"918989543046443009";https://twitter.com/HaydenPinafore/status/918989543046443009
j0shefina;2017-10-13 19:59;0;2;"Happy Death Day was not that bad, really funny";;;;"918989535001829376";https://twitter.com/j0shefina/status/918989535001829376
Adjohnson_;2017-10-13 19:59;0;9;"Who tryna see happy death day";;;;"918989513958895616";https://twitter.com/Adjohnson_/status/918989513958895616
TinaPandaz;2017-10-13 19:58;0;0;"watching happy death day on friday the 13th";;;;"918989451627565056";https://twitter.com/TinaPandaz/status/918989451627565056
scottkelly1974;2017-10-13 19:58;0;0;"HAPPY DEATH DAY | Movieguide | Movie Reviews for Christians https://www. movieguide.org/reviews/happy- death-day.html#.WeFTMh9T7dc.twitter …";;;#;"918989421847781376";https://twitter.com/scottkelly1974/status/918989421847781376
Purpin_Mama;2017-10-13 19:58;0;0;"I can't wait to see Happy Death Day .";;;;"918989392861106177";https://twitter.com/Purpin_Mama/status/918989392861106177
zoexswift;2017-10-13 19:58;0;0;"WHOSE THE KILLER IN HAPPY DEATH DAY I love spoilers and I need to know asap";;;;"918989358530674688";https://twitter.com/zoexswift/status/918989358530674688
trent_croci;2017-10-13 19:58;1;3;"YOOOOO HAppy Death Day must see movie. Funny and a good time";;;;"918989354885713920";https://twitter.com/trent_croci/status/918989354885713920
ShutUpBitchh_;2017-10-13 19:58;0;0;"Bruh... Happy Death Day was trash. I’m pissed";;;;"918989323118067712";https://twitter.com/ShutUpBitchh_/status/918989323118067712
haileymichellee;2017-10-13 19:58;0;1;"i want to see happy death day";;;;"918989247536705536";https://twitter.com/haileymichellee/status/918989247536705536
0ddoneout;2017-10-13 19:58;0;0;"Did anybody go see happy death day ? How was it ?";;;;"918989227727245312";https://twitter.com/0ddoneout/status/918989227727245312
sameoldbrandon;2017-10-13 19:57;1;1;"i want to see happy death day";;;;"918989212539535360";https://twitter.com/sameoldbrandon/status/918989212539535360
ZoeyAdair;2017-10-13 19:57;0;0;"The girl in #HappyDeathDay is bae . . @jessica_rothe";;@jessica_rothe;#HappyDeathDay;"918989204448612352";https://twitter.com/ZoeyAdair/status/918989204448612352
hunnybunnyyy;2017-10-13 19:57;0;0;"just bought a ticket for tonight to see #HappyDeathDay @UniversalHorror ...wtf was I thinking pic.twitter.com/3r0UWPpRm5";;@UniversalHorror;#HappyDeathDay;"918989197117026304";https://twitter.com/hunnybunnyyy/status/918989197117026304
troiansbeIIsrio;2017-10-13 19:57;0;5;"i just saw happy death day w my friends it was good";;;;"918989112547217409";https://twitter.com/troiansbeIIsrio/status/918989112547217409
mattwwe9;2017-10-13 19:57;0;0;"I liked a @YouTube video http:// youtu.be/IQYezc3WeL0?a Happy Death Day Parody and Movie Review";;@YouTube;;"918989035263193090";https://twitter.com/mattwwe9/status/918989035263193090
Ashley_Alldahyi;2017-10-13 19:57;0;0;"Since I'm back home , I might go see " Happy Death Day "";;;;"918988994037407745";https://twitter.com/Ashley_Alldahyi/status/918988994037407745
__selahrose;2017-10-13 19:56;0;0;"Happy Death Day .";;;;"918988940803272705";https://twitter.com/__selahrose/status/918988940803272705
Steinmisr;2017-10-13 19:56;0;2;"Happy death day looks like the kind of horror movie I'd actually want to watch tbh";;;;"918988938030624769";https://twitter.com/Steinmisr/status/918988938030624769
heslovxto;2017-10-13 19:56;0;0;"I'M SEEING HAPPY DEATH DAY TONIGHT I'M SO EXCITED";;;;"918988936663281664";https://twitter.com/heslovxto/status/918988936663281664
theklashae;2017-10-13 19:56;0;0;"Happy Death Day was a reallyyyyyyyyyy good movie forreal";;;;"918988931865239553";https://twitter.com/theklashae/status/918988931865239553
kierstingale;2017-10-13 19:56;0;8;"just saw happy death day , very good, go see(:";;;;"918988911975849986";https://twitter.com/kierstingale/status/918988911975849986
DoomDesire89;2017-10-13 19:56;0;0;"What a spoiler #swerve";;;#swerve;"918988908876087297";https://twitter.com/DoomDesire89/status/918988908876087297
nothingbutabz;2017-10-13 19:56;0;1;"Apparently people, including critics, are saying that “ Happy Death Day ” is... good?";;;;"918988863246184448";https://twitter.com/nothingbutabz/status/918988863246184448
