0,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
really going see happy death day hope,0.4522,0.264,0.465,0.271
yall saw happy death day say new white man added list,-0.0516,0.235,0.223,0.542
trying watch happy death day,-0.0516,0.368,0.349,0.283
excited see happy death day tonight,0.296,0.3,0.469,0.231
much really nice little birthday gift,0.6922,0.0,0.588,0.412
happy death day really funny,0.4576,0.305,0.539,0.156
tryna see happy death day,-0.0516,0.368,0.349,0.283
watching happy death day friday,-0.0516,0.368,0.349,0.283
happy death day movieguide movie reviews christians,-0.0516,0.31,0.294,0.397
wait see happy death day,-0.0516,0.368,0.349,0.283
whose killer happy death day love spoilers need know asap,-0.0772,0.371,0.357,0.271
yooooo happy death day must see funny good time,0.6808,0.212,0.516,0.272
happy death day pissed,-0.6597,0.633,0.289,0.078
want see happy death day,0.0258,0.358,0.459,0.183
anybody go see happy death day,-0.0516,0.336,0.319,0.345
want see happy death day,0.0258,0.358,0.459,0.183
girl bae,0.0,0.0,0.0,1.0
bought ticket tonight see thinking,0.0,0.0,0.0,1.0
saw happy death day w friends good,0.7003,0.25,0.622,0.128
liked video happy death day parody movie review,0.3818,0.253,0.422,0.325
since back home might go see happy death day,-0.0516,0.267,0.253,0.479
happy death day,-0.0516,0.453,0.43,0.116
happy death day looks like kind horror movie actually want watch tbh,0.3182,0.31,0.445,0.245
seeing happy death day tonight excited,0.296,0.3,0.469,0.231
happy death day reallyyyyyyyyyy good movie forreal,0.4019,0.269,0.455,0.276
saw happy death day go,-0.0516,0.368,0.349,0.283
spoiler,0.0,0.0,0.0,1.0
apparently including saying happy death day,-0.0516,0.336,0.319,0.345
caraca quem vai preferir esse happy death day tem tudo pra dar errado pra mim,-0.0516,0.189,0.18,0.631
happy death day getting really good,0.4576,0.283,0.5,0.218
one better time loopers,0.4404,0.0,0.492,0.508
excited see happy death day,0.296,0.325,0.508,0.167
come watch happy death day,-0.0516,0.368,0.349,0.283
comes today instead decide stay chill watch,0.0,0.0,0.0,1.0
happy death day good oh god,0.5859,0.267,0.596,0.137
named happy groundhog,0.5719,0.0,0.649,0.351
happy death day two movies see,-0.0516,0.336,0.319,0.345
think happy death day scared nah scared,-0.7506,0.661,0.22,0.119
seeing happy death day,-0.0516,0.406,0.385,0.208
hahaha watched totally called shit movie exactly thought going disappointed,-0.5233,0.397,0.205,0.398
neutral,0.0,0.0,0.0,1.0
went see happy death day quite happy friday,0.5423,0.239,0.454,0.307
happy death day via,-0.0516,0.406,0.385,0.208
happy death day better good,0.6808,0.271,0.66,0.069
happy death day traduzido pra morta de nossa q parece de filme de,-0.0516,0.222,0.21,0.568
run ads happy death day origins shadow mordor videos seems like definitely family friendly,0.802,0.156,0.484,0.36
see happy death day heard fingers,-0.0516,0.336,0.319,0.345
happy death day good go see,0.4019,0.289,0.489,0.222
watching happy death day theater,-0.0516,0.368,0.349,0.283
movie happy death day great,0.5994,0.285,0.569,0.146
kar best dm finishes watching happy death day,0.6124,0.232,0.47,0.298
want see happy death day,0.0258,0.358,0.459,0.183
saw happy death day lmao,0.5719,0.289,0.563,0.148
thinking almost got better score,0.3862,0.0,0.396,0.604
happy death day best lie,0.6124,0.283,0.572,0.145
lol wanted see happy death day today guess,0.3818,0.253,0.422,0.325
someone see happy death day,-0.0516,0.368,0.349,0.283
wanna go see happy death day,-0.0516,0.336,0.319,0.345
liked video happy death day,0.3818,0.315,0.524,0.161
