username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
NinjaTheory22,10/14/2017 19:59,0,0,whole reliving day gimmick interesting well happy death day checks box,,,9.19352e+17,0.5574,0.201,0.438,0.361,PP,28
funnnsizedd,10/14/2017 19:59,0,0,trying go see happy death day tonight,,,9.19352e+17,-0.0516,0.31,0.294,0.397,NN,28
aIisemiIy,10/14/2017 19:59,0,38,happy death day good movie wait waste money,,,9.19352e+17,-0.0258,0.387,0.382,0.231,NN,28
_mamasxx_,10/14/2017 19:59,0,0,need buddy go see happy death day,,,9.19352e+17,-0.0516,0.31,0.294,0.397,NN,28
JenniferPhung,10/14/2017 19:59,0,1,saw happy death day last night,,,9.19352e+17,-0.0516,0.336,0.319,0.345,NN,28
_B_S_W_,10/14/2017 19:59,0,0,wanna go see happy death day,,,9.19352e+17,-0.0516,0.336,0.319,0.345,NN,28
iGuru_YT,10/14/2017 19:59,0,1,currently watching spoilers watching plz,,#HappyDeathDay,9.19352e+17,0.0772,0.0,0.245,0.755,PP,28
Rivo_FPS,10/14/2017 19:59,0,0,happy death day,,,9.19352e+17,-0.0516,0.453,0.43,0.116,NN,28
kaelaeddie,10/14/2017 19:59,0,3,watched actually really good,@KelsiChoquette @PonoVarron @_kaylablood_,#HappyDeathDay,9.19352e+17,0.4927,0.0,0.516,0.484,PP,28
ireyes16,10/14/2017 19:59,0,1,believe see,,#HappyDeathDay,9.19352e+17,0.0,0.0,0.0,1.0,NN,28
NanaOG1,10/14/2017 19:59,0,0,happy death day sister,,,9.19352e+17,-0.0516,0.406,0.385,0.208,NN,28
ryanoliveira101,10/14/2017 19:58,0,0,happy death day,,,9.19352e+17,-0.0516,0.453,0.43,0.116,NN,28
JdM24_7,10/14/2017 19:58,0,0,called happy death day flat,,,9.19352e+17,-0.0516,0.368,0.349,0.283,NN,28
Cvrlton__,10/14/2017 19:58,1,0,trynna go see happy death day,,,9.19352e+17,-0.0516,0.336,0.319,0.345,NN,28
GuapoMeech,10/14/2017 19:58,0,1,want see happy death day,,,9.19352e+17,0.0258,0.358,0.459,0.183,NN,28
austxxnn,10/14/2017 19:58,0,0,guessed killer happy death day right without seeing movie goat,,,9.19352e+17,-0.6705,0.434,0.196,0.37,Neg,28
muellerjr,10/14/2017 19:57,0,0,movie today used moviepass,,#HappyDeathDay #slasherfilm #moviepass,9.19352e+17,0.0,0.0,0.0,1.0,NN,28
egrdz22,10/14/2017 19:57,2,1,dude happy death day freaking good like best movie seen,,,9.19352e+17,0.765,0.279,0.554,0.167,PP,28
eXTeeGi,10/14/2017 19:57,0,2,glad saw battle sexes instead happy death day really,,,9.19351e+17,0.0516,0.357,0.368,0.275,NN,28
NinjaTheory22,10/14/2017 19:57,0,0,first happy death day murdery remake bill groundhog really,,,9.19351e+17,-0.0516,0.267,0.253,0.479,NN,28
saqua23,10/14/2017 19:57,0,1,actually really enjoyed walked expecting bad movie thoroughly enjoyed,,#HappyDeathDay,9.19351e+17,0.5699,0.21,0.431,0.36,PP,28
Janay_cicotte,10/14/2017 19:56,0,3,pal ella went see happy death day sold bad things always happen good people like fr,,,9.19351e+17,0.1779,0.269,0.331,0.4,PP,28
drarryisreal,10/14/2017 19:56,0,0,got back happy death day nd wasnt scary thank pretty sure ill sleep,,,9.19351e+17,-0.4234,0.439,0.331,0.23,Neg,28
