Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,polarity
0,baked_reeds,2017-10-22 19:59,0,2,went watch happy death day firestick instead episode happy days started get rick,,,922251182516723712,0.5423,0.183,0.347,0.469,Neu
1,iKarlee4,2017-10-22 19:59,0,6,happy death day makes wanna find nerdy boy life,,,922251179060588544,-0.1027,0.345,0.25,0.405,Neu
2,venusmoth,2017-10-22 19:59,0,0,matter happy death day exceeded im shocked even say,,,922251051037634560,-0.34,0.387,0.3,0.313,Neg
3,AndiieDoficial,2017-10-22 19:58,0,0,happy death day andiie,@YouTube,,922250753430949890,-0.0516,0.406,0.385,0.208,Neg
4,babylovetaba,2017-10-22 19:57,0,0,happy death day bad genius gusto ko panoorin,,,922250644890689537,-0.5719,0.46,0.23,0.311,Neg
5,chy_bela,2017-10-22 19:56,0,0,finished looking happy death day loved,,,922250356112920576,0.5719,0.269,0.524,0.207,Pos
6,Real_Dj_Ariel,2017-10-22 19:56,0,0,watching happy death day amc theatres jersey gardens,,,922250348047237120,-0.0516,0.287,0.272,0.441,Neu
7,TheWyMac,2017-10-22 19:56,0,0,love introduce case need makeup artist thank,@blumhouse @JonLeeBrody,,922250327813791745,0.7717,0.0,0.573,0.427,Pos
8,katie18xox,2017-10-22 19:56,0,0,yeah also saw happy death day pretty good,,,922250236906606592,0.7964,0.206,0.635,0.159,Pos
9,venusmoth,2017-10-22 19:56,0,1,ethan went watch happy death day thread,,,922250227423133696,-0.0516,0.31,0.294,0.397,Neu
10,castieIkrushnic,2017-10-22 19:54,0,1,oh watching happy death day right probably watch one thanks,,,922249884245389313,0.4019,0.223,0.377,0.4,Neu
11,kimberrrly54,2017-10-22 19:54,0,0,happy death day beer,,,922249868931944449,-0.0516,0.406,0.385,0.208,Neg
12,LeftistMichael,2017-10-22 19:54,0,0,saw happy death day hoping groundhog day sorority killer got paid recommend,,,922249751696986112,-0.0516,0.339,0.372,0.289,Pos
13,__jessegarcia,2017-10-22 19:53,4,2,want see movie happy death day worth,,,922249696743231488,0.25,0.283,0.5,0.217,Pos
14,REDRAGEGAMER,2017-10-22 19:53,0,1,happy death day performing better blade runner,,,922249599229812738,0.4019,0.269,0.455,0.276,Pos
15,TyAjahR,2017-10-22 19:53,1,0,happy death day,,,922249527649849344,-0.0516,0.453,0.43,0.116,Neg
16,Arielrocks5,2017-10-22 19:52,0,1,review happy death day,@letterboxd,,922249325685739520,-0.0516,0.406,0.385,0.208,Neg
17,donnamossirl,2017-10-22 19:52,0,1,anyone talk happy death day emotions,,,922249297336381442,-0.0516,0.336,0.319,0.345,Neu
18,Real_Dj_Ariel,2017-10-22 19:49,0,0,watching happy death day,,,922248581515481088,-0.0516,0.406,0.385,0.208,Neg
19,JonLeeBrody,2017-10-22 19:49,5,25,finally got watch shoutout da homies job well kudos poster,@blumhouse,#HappyDeathDay,922248555867152384,0.6597,0.0,0.403,0.597,Neu
20,hollyxbullardx,2017-10-22 19:48,0,0,someone please go see happy death day courtney,,,922248434169602049,0.2732,0.262,0.403,0.336,Pos
21,chaaarrllee,2017-10-22 19:48,0,1,happy death day dumbest movie,,,922248428947689473,-0.5423,0.558,0.287,0.155,Neg
22,deacon05oc,2017-10-22 19:48,0,1,happy death day,,,922248230825537536,-0.0516,0.453,0.43,0.116,Neg
23,norazfaaa,2017-10-22 19:48,0,0,feels like wanna watch happy death day,,,922248209824489472,0.3182,0.277,0.44,0.284,Pos
24,bigbulldog4ever,2017-10-22 19:47,0,0,really want go see happy death day wanna see,,,922248109555625985,0.101,0.257,0.348,0.395,Neu
25,TheDexStarr,2017-10-22 19:47,0,0,remember said like happy death day grown sorta like,,,922247985580396544,0.5859,0.222,0.494,0.284,Pos
26,sarahelainee_,2017-10-22 19:46,2,7,someone come watch happy death day,,,922247892143816705,-0.0516,0.336,0.319,0.345,Neu
27,OsaKaede,2017-10-22 19:45,0,0,que anime ver happy death day,,,922247628661850112,-0.0516,0.336,0.319,0.345,Neu
28,jhazzeee_,2017-10-22 19:45,0,0,happy death day expect,,,922247479587954690,-0.0516,0.406,0.385,0.208,Neg
29,lex_guillen,2017-10-22 19:44,1,0,wanna go movies see happy death day,,,922247321987018752,-0.0516,0.31,0.294,0.397,Neu
30,kgforreal,2017-10-22 19:44,0,8,weekend watched happy death day endless hell triple,,,922247289590177794,-0.7003,0.494,0.215,0.291,Neg
