Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,polarity
0,Todd2814,2017-10-24 19:59,0,0,whats last movie happy death day,,,922975843466600448,-0.0516,0.336,0.319,0.345,Neu
1,BLowM3333,2017-10-24 19:59,0,0,liked video happy death day movie review,@YouTube,,922975823027679232,0.3818,0.271,0.451,0.278,Pos
2,mscinemas,2017-10-24 19:59,0,1,el este viernes en,,#MovieSpace #FelizD #HappyDeathDay,922975822901891072,0.0,0.0,0.0,1.0,Neu
3,john_leymart,2017-10-24 19:59,0,0,watching happy death day,,,922975749283356672,-0.0516,0.406,0.385,0.208,Neg
4,PattyRiceee,2017-10-24 19:58,0,1,wanna go see happy death day,,,922975695130767365,-0.0516,0.336,0.319,0.345,Neu
5,SariiLuvv,2017-10-24 19:57,0,1,happy death day pretty alright,,,922975290925768705,0.6124,0.283,0.645,0.072,Pos
6,amanndav_,2017-10-24 19:57,0,0,cinemark happy death day df,@alexsanderbispo @mihpiau @raytavaress_,,922975287280832512,-0.0516,0.368,0.349,0.283,Neg
7,hailey_florence,2017-10-24 19:56,0,8,fat ass blunt go watch happy death day,,,922975214950023168,-0.5719,0.46,0.23,0.311,Neg
8,MattEater1,2017-10-24 19:55,0,1,un video de el deja de vivir repetir tu happy death day lo lo,@YouTube,,922974932786704384,-0.0516,0.199,0.189,0.612,Neu
9,aniratackat,2017-10-24 19:54,0,1,saw happy death day snowman solid,,,922974677039026176,0.1027,0.32,0.434,0.246,Pos
10,katyasvnyl,2017-10-24 19:53,0,0,im going see happy death day,,,922974265166589953,-0.0516,0.336,0.319,0.345,Neu
11,_jackieCantu,2017-10-24 19:52,1,0,still havent seen happy death day,,,922974158526603266,0.0382,0.296,0.31,0.394,Neu
12,gollum1031,2017-10-24 19:52,0,0,happy death day bad knew killer still,,,922974151849250816,-0.8402,0.636,0.201,0.163,Neg
13,Natalieyvonnex,2017-10-24 19:52,0,0,happy death day date evening solid,,,922974040322691072,0.1027,0.32,0.434,0.246,Pos
14,RosvaldaSimkute,2017-10-24 19:50,0,0,loved happy death day great plot one tree cross danielle list road,@ScottyLobdell,,922973632053370881,0.8316,0.165,0.496,0.339,Pos
15,khaliamalone,2017-10-24 19:49,0,0,want see flatliners happy death day,,,922973478483120128,0.0258,0.328,0.42,0.252,Pos
16,eeddiiith,2017-10-24 19:49,11,2,really wana watch happy death day someone come,,,922973324413624321,0.0164,0.281,0.286,0.433,Neu
17,peachesanpearls,2017-10-24 19:49,0,2,saw happy death day major plot liked,,,922973310375383041,0.3818,0.271,0.451,0.278,Pos
18,movrank,2017-10-24 19:48,0,0,happy death day universal,,#BoxOffice #,922973208545935361,-0.0516,0.406,0.385,0.208,Neg
19,dominiclosie,2017-10-24 19:47,0,1,happy death day awesome,,,922972942459338752,0.5994,0.307,0.614,0.079,Pos
20,atika_rosre,2017-10-24 19:47,0,0,tgk laa happy death day best giloss,,,922972795910340608,0.6124,0.247,0.5,0.253,Pos
21,SideshowRhett,2017-10-24 19:47,0,0,waiting month see happy death day finally going tonight,,,922972763190644736,-0.0516,0.267,0.253,0.479,Neu
22,jaytown__,2017-10-24 19:44,0,1,felt betrayed first couple minutes happy death day realized ringtone actually club,,,922972178836058112,-0.6369,0.383,0.18,0.437,Neu
23,SlasherTrash,2017-10-24 19:44,1,14,watching happy death day slasher better slasher dig prom night,,,922972100633223169,0.4019,0.223,0.377,0.4,Neu
24,Wiseguyhoopin,2017-10-24 19:44,0,1,recommend happy death day,,,922972099106557954,0.3182,0.351,0.559,0.09,Pos
25,cuacarraquear,2017-10-24 19:42,0,13,voy la premier de con en al rato les cuento tal,@UniversalMX,#HappyDeathDay,922971636290031616,0.0,0.0,0.0,1.0,Neu
