Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator
0,filthydeadboy,10/17/2017 19:59,0,0,seeing happy death day today,,,9.20439e+17,-0.0516,0.368,0.349,0.283,NN
1,saltytinktink,10/17/2017 19:58,0,2,wanna see happy death day,,,9.20439e+17,-0.0516,0.368,0.349,0.283,NN
2,i_want_u_2_lose,10/17/2017 19:58,0,0,killer happy death day giant would full,,,9.20439e+17,-0.6705,0.516,0.233,0.252,Neg
3,itssimplyash,10/17/2017 19:57,0,1,watch happy death day,,,9.20439e+17,-0.0516,0.406,0.385,0.208,NN
4,_Auuustinnn,10/17/2017 19:57,0,1,wanna see happy death day,,,9.20439e+17,-0.0516,0.368,0.349,0.283,NN
5,JomarisRosa,10/17/2017 19:57,0,1,ya soy una veterana en otra cuando se acaba esperaba de happy death day pero muy repetitiva aveces,,,9.20439e+17,-0.0516,0.165,0.157,0.678,NN
6,SahafahFan,10/17/2017 19:56,0,0,happy death day,,,9.20438e+17,-0.0516,0.453,0.43,0.116,NN
7,SabzMoreno,10/17/2017 19:56,0,1,saw happy death day actually good,,,9.20438e+17,0.4019,0.289,0.489,0.222,PP
8,REELWORD,10/17/2017 19:56,1,0,neutral,,#review #HappyDeathDay #horror #comedy #GroundhogDay,9.20438e+17,0.0,0.0,0.0,1.0,NN
9,_kiaera,10/17/2017 19:54,1,0,happy death day good forgot tell lol,,,9.20438e+17,0.6705,0.239,0.577,0.184,PP
10,okshaleila,10/17/2017 19:54,0,0,days still reeling happy death day bringing line heifers delta least prepared,,,9.20438e+17,-0.2182,0.305,0.203,0.493,Neg
11,igorpps,10/17/2017 19:52,0,1,happy death day rio de rj,@CinemarkOficial,,9.20437e+17,-0.0516,0.336,0.319,0.345,NN
12,SafiahMS_,10/17/2017 19:52,0,0,nak ajak pergi tengok happy death day lupa pulak baru tahun,,,9.20437e+17,-0.0516,0.235,0.223,0.542,NN
13,swampwampa,10/17/2017 19:51,0,1,happy death day really predictable super enjoyed,,,9.20437e+17,0.8197,0.213,0.624,0.164,PP
14,BheyyDmndn,10/17/2017 19:51,0,1,gusto kong manood ng happy death day hahahahaha,,,9.20437e+17,-0.0516,0.287,0.272,0.441,NN
15,MtixBoss,10/17/2017 19:50,0,0,happy death day tayang mulai hari ini di get tickets via bisa pilih,@MtixBoss,,9.20437e+17,-0.0516,0.21,0.199,0.591,NN
16,PENGUIN0FGOTHAM,10/17/2017 19:49,0,0,got done watching happy death day shock amazing movie fav movie ever seen worth fullprice buy bluray,,,9.20437e+17,0.7096,0.217,0.415,0.368,PP
17,jevial,10/17/2017 19:49,0,0,en vose,,,9.20437e+17,0.0,0.0,0.0,1.0,NN
18,itsukoii,10/17/2017 19:49,0,3,happy death day sucked ok,,,9.20437e+17,-0.25,0.5,0.428,0.072,Neg
19,Sephology,10/17/2017 19:48,0,0,neutral,,#frightnight2k17 #happydeathday #nw,9.20436e+17,0.0,0.0,0.0,1.0,NN
20,morgspingola,10/17/2017 19:48,0,0,happy death day massive let,,,9.20436e+17,-0.0516,0.368,0.349,0.283,NN
21,eppicburrito1,10/17/2017 19:48,0,0,happy death day,,,9.20436e+17,-0.0516,0.453,0.43,0.116,NN
22,Manikinss,10/17/2017 19:48,0,0,turns predicted ending happy death day still enjoyed though funny moments,,,9.20436e+17,0.7184,0.188,0.476,0.337,PP
23,igetfilthy,10/17/2017 19:46,0,1,happy death day actually end,,,9.20436e+17,-0.0516,0.368,0.349,0.283,NN
24,ohdassZee,10/17/2017 19:45,0,0,happy death day good tho,,,9.20436e+17,0.4019,0.312,0.528,0.16,PP
25,chacho_spears,10/17/2017 19:44,0,1,movie,,#happydeathdaymovie #happydeathday #fammovienight,9.20435e+17,0.0,0.0,0.0,1.0,NN
26,chacho_spears,10/17/2017 19:44,0,0,movie,,#happydeathdaymovie #happydeathday #fammovienight,9.20435e+17,0.0,0.0,0.0,1.0,NN
27,chacho_spears,10/17/2017 19:44,0,0,movie,,#happydeathdaymovie #happydeathday #fammovienight,9.20435e+17,0.0,0.0,0.0,1.0,NN
28,chacho_spears,10/17/2017 19:44,0,0,movie jordan landing,@Cinemark,#happydeathdaymovie #happydeathday #fammovienight,9.20435e+17,0.0,0.0,0.0,1.0,NN
29,FlawlessRuth,10/17/2017 19:43,0,0,happy death day lame please save ya rarely say movies im fr,,,9.20435e+17,0.3612,0.293,0.402,0.306,PP
30,wallyisdead_,10/17/2017 19:43,0,0,liked video happy death day another hit,@YouTube,,9.20435e+17,0.3818,0.271,0.451,0.278,PP
31,EricElizondo,10/17/2017 19:43,0,0,got work brought niece watch happy death day,,#BestUncle,9.20435e+17,-0.0516,0.287,0.272,0.441,NN
32,abbeydenneyy,10/17/2017 19:43,0,0,told,,,9.20435e+17,0.0,0.0,0.0,1.0,NN
33,cadtki,10/17/2017 19:43,0,0,happy death day,,,9.20435e+17,-0.0516,0.453,0.43,0.116,NN
34,cadtki,10/17/2017 19:42,0,1,happy death day,,,9.20435e+17,-0.0516,0.453,0.43,0.116,NN
35,renzy0u,10/17/2017 19:41,0,0,happy death day,,,9.20435e+17,-0.0516,0.453,0.43,0.116,NN
36,kaylanegs,10/17/2017 19:41,0,1,seeing happy death day tonight really looked ending told happened smfh,,,9.20435e+17,-0.0516,0.235,0.223,0.542,NN
37,amhaunted,10/17/2017 19:40,3,18,huge hit revived movies back,,#HappyDeathDay #Halloween #Slasher,9.20434e+17,0.3182,0.0,0.365,0.635,PP
38,wallyisdead_,10/17/2017 19:40,0,0,liked video happy death day movie review double toasted,@YouTube,,9.20434e+17,0.3818,0.238,0.396,0.366,PP
39,kennlee_19,10/17/2017 19:40,0,0,recommend seeing happy death day,,,9.20434e+17,0.3182,0.322,0.512,0.165,PP
40,JomarisRosa,10/17/2017 19:39,0,0,yo vi dos por el precio de una jaja eso mala american assassin happy death day,,,9.20434e+17,-0.0516,0.181,0.171,0.648,NN
41,chelseagrega,10/17/2017 19:39,0,0,watching happy death day amc theatre morristown,,,9.20434e+17,-0.0516,0.31,0.294,0.397,NN
42,AflamTalk,10/17/2017 19:38,2,1,happy death day runner,,,9.20434e+17,-0.0516,0.406,0.385,0.208,NN
