,username,date,retweets,favorites,text,mentions,hashtags,id,Sentiment,Sentiment_Score
0,Todd2814,10/24/2017 19:59,0,0,whats last movie happy death day,,,9.22976E+17,positive,0.4
1,BLowM3333,10/24/2017 19:59,0,0,liked video happy death day movie review,@YouTube,,9.22976E+17,positive,0.7
2,mscinemas,10/24/2017 19:59,0,1,el este viernes en,,#MovieSpace #FelizD #HappyDeathDay,9.22976E+17,neutral,0
3,john_leymart,10/24/2017 19:59,0,0,watching happy death day,,,9.22976E+17,positive,0.8
4,PattyRiceee,10/24/2017 19:58,0,1,wanna go see happy death day,,,9.22976E+17,positive,0.8
5,SariiLuvv,10/24/2017 19:57,0,1,happy death day pretty alright,,,9.22975E+17,positive,0.525
6,amanndav_,10/24/2017 19:57,0,0,cinemark happy death day df,@alexsanderbispo @mihpiau @raytavaress_,,9.22975E+17,positive,0.8
7,hailey_florence,10/24/2017 19:56,0,8,fat ass blunt go watch happy death day,,,9.22975E+17,positive,0.8
8,MattEater1,10/24/2017 19:55,0,1,un video de el deja de vivir repetir tu happy death day lo lo,@YouTube,,9.22975E+17,positive,0.8
9,aniratackat,10/24/2017 19:54,0,1,saw happy death day snowman solid,,,9.22975E+17,positive,0.4
10,katyasvnyl,10/24/2017 19:53,0,0,im going see happy death day,,,9.22974E+17,positive,0.8
11,_jackieCantu,10/24/2017 19:52,1,0,still havent seen happy death day,,,9.22974E+17,positive,0.8
12,gollum1031,10/24/2017 19:52,0,0,happy death day bad knew killer still,,,9.22974E+17,positive,0.05
13,Natalieyvonnex,10/24/2017 19:52,0,0,happy death day date evening solid,,,9.22974E+17,positive,0.4
14,RosvaldaSimkute,10/24/2017 19:50,0,0,loved happy death day great plot one tree cross danielle list road,@ScottyLobdell,,9.22974E+17,positive,0.575
15,khaliamalone,10/24/2017 19:49,0,0,want see flatliners happy death day,,,9.22973E+17,positive,0.8
16,eeddiiith,10/24/2017 19:49,11,2,really wana watch happy death day someone come,,,9.22973E+17,positive,0.5
17,peachesanpearls,10/24/2017 19:49,0,2,saw happy death day major plot liked,,,9.22973E+17,positive,0.4875
18,movrank,10/24/2017 19:48,0,0,happy death day universal,,#BoxOffice #,9.22973E+17,positive,0.4
19,dominiclosie,10/24/2017 19:47,0,1,happy death day awesome,,,9.22973E+17,positive,0.9
20,atika_rosre,10/24/2017 19:47,0,0,tgk laa happy death day best giloss,,,9.22973E+17,positive,0.9
21,SideshowRhett,10/24/2017 19:47,0,0,waiting month see happy death day finally going tonight,,,9.22973E+17,positive,0.4
22,jaytown__,10/24/2017 19:44,0,1,felt betrayed first couple minutes happy death day realized ringtone actually club,,,9.22972E+17,positive,0.35
23,SlasherTrash,10/24/2017 19:44,1,14,watching happy death day slasher better slasher dig prom night,,,9.22972E+17,positive,0.65
24,Wiseguyhoopin,10/24/2017 19:44,0,1,recommend happy death day,,,9.22972E+17,positive,0.8
25,cuacarraquear,10/24/2017 19:42,0,13,voy la premier de con en al rato les cuento tal,@UniversalMX,#HappyDeathDay,9.22972E+17,neutral,0
26,kobeereynolds,10/24/2017 19:42,0,0,watching happy death day anxiety,,,9.22972E+17,positive,0.8
27,ukrainiangirlx,10/24/2017 19:40,0,0,usually scared horror movies looks funnier scarier,,#happydeathday,9.22971E+17,negative,-0.25
28,RyanricT,10/24/2017 19:40,0,0,happy death day absolutely tense surprisingly excellent,@UniversalHorror,,9.22971E+17,positive,0.488888889
29,atjogialove,10/24/2017 19:39,0,0,happy death day better time marshall,,,9.22971E+17,positive,0.65
