,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
0,NinjaTheory22,2017-10-14 19:59,0,0,whole reliving day gimmick interesting well happy death day checks box,,,919352095492460544,0.5574,0.201,0.438,0.361
1,funnnsizedd,2017-10-14 19:59,0,0,trying go see happy death day tonight,,,919352001477013504,-0.0516,0.31,0.294,0.397
2,aIisemiIy,2017-10-14 19:59,0,38,happy death day good movie wait waste money,,,919351969709305856,-0.0258,0.387,0.382,0.231
3,_mamasxx_,2017-10-14 19:59,0,0,need buddy go see happy death day,,,919351965586309120,-0.0516,0.31,0.294,0.397
4,JenniferPhung,2017-10-14 19:59,0,1,saw happy death day last night,,,919351949908217857,-0.0516,0.336,0.319,0.345
5,_B_S_W_,2017-10-14 19:59,0,0,wanna go see happy death day,,,919351944480677888,-0.0516,0.336,0.319,0.345
6,iGuru_YT,2017-10-14 19:59,0,1,currently watching spoilers watching plz,,#HappyDeathDay,919351921877512192,0.0772,0.0,0.245,0.755
7,Rivo_FPS,2017-10-14 19:59,0,0,happy death day,,,919351899295494145,-0.0516,0.453,0.43,0.116
8,kaelaeddie,2017-10-14 19:59,0,3,watched actually really good,@KelsiChoquette @PonoVarron @_kaylablood_,#HappyDeathDay,919351897927987201,0.4927,0.0,0.516,0.484
9,ireyes16,2017-10-14 19:59,0,1,believe see,,#HappyDeathDay,919351876914577408,0.0,0.0,0.0,1.0
10,NanaOG1,2017-10-14 19:59,0,0,happy death day sister,,,919351875928866816,-0.0516,0.406,0.385,0.208
11,ryanoliveira101,2017-10-14 19:58,0,0,happy death day,,,919351849446080512,-0.0516,0.453,0.43,0.116
12,JdM24_7,2017-10-14 19:58,0,0,called happy death day flat,,,919351811978522626,-0.0516,0.368,0.349,0.283
13,Cvrlton__,2017-10-14 19:58,1,0,trynna go see happy death day,,,919351797025779712,-0.0516,0.336,0.319,0.345
14,GuapoMeech,2017-10-14 19:58,0,1,want see happy death day,,,919351706219110400,0.0258,0.358,0.459,0.183
15,austxxnn,2017-10-14 19:58,0,0,guessed killer happy death day right without seeing movie goat,,,919351678649778176,-0.6705,0.434,0.196,0.37
16,muellerjr,2017-10-14 19:57,0,0,movie today used moviepass,,#HappyDeathDay #slasherfilm #moviepass,919351600266797061,0.0,0.0,0.0,1.0
17,egrdz22,2017-10-14 19:57,2,1,dude happy death day freaking good like best movie seen,,,919351514895810560,0.765,0.279,0.554,0.167
18,eXTeeGi,2017-10-14 19:57,0,2,glad saw battle sexes instead happy death day really,,,919351389813460993,0.0516,0.357,0.368,0.275
19,NinjaTheory22,2017-10-14 19:57,0,0,first happy death day murdery remake bill groundhog really,,,919351386386718720,-0.0516,0.267,0.253,0.479
20,saqua23,2017-10-14 19:57,0,1,actually really enjoyed walked expecting bad movie thoroughly enjoyed,,#HappyDeathDay,919351362147815424,0.5699,0.21,0.431,0.36
21,Janay_cicotte,2017-10-14 19:56,0,3,pal ella went see happy death day sold bad things always happen good people like fr,,,919351339339141120,0.1779,0.269,0.331,0.4
22,drarryisreal,2017-10-14 19:56,0,0,got back happy death day nd wasnt scary thank pretty sure ill sleep,,,919351299698814976,-0.4234,0.439,0.331,0.23
23,NicKLASnotHOLAS,2017-10-14 19:56,0,1,seeing seeing times got,,#It #R #HappyDeathDay #PG13 #Movies,919351261543231488,0.0,0.0,0.0,1.0
24,iamkachae,2017-10-14 19:56,0,0,happy death day tonight,,,919351256816250880,-0.0516,0.406,0.385,0.208
25,Tyler_Dewayne22,2017-10-14 19:56,0,0,happy death day odd experience funny,,,919351185550856192,0.1027,0.419,0.446,0.135
26,barelyconcealed,2017-10-14 19:56,0,7,walks heels across directors never walked,@thenewarucan,#HappyDeathDay,919351178105901056,0.0,0.0,0.0,1.0
27,bloodylove10,2017-10-14 19:55,0,0,watching happy death day westfield sarasota square,,,919350981929861120,-0.0516,0.31,0.294,0.397
28,TroyTgood723,2017-10-14 19:55,0,0,movie really good go see,,#HappyDeathDay,919350975248420866,0.4927,0.0,0.444,0.556
29,groom_bonnie,2017-10-14 19:55,1,1,believe happy death day impressive dead fr,,,919350947775578113,-0.296,0.451,0.385,0.165
30,lukaseggen,2017-10-14 19:54,0,1,quite year,@GetOutMovie @splitmovie @UniversalHorror @blumhouse @PopCorn_Media @FeelinFilm @InSessionFilm,,919350716786868225,0.0,0.0,0.0,1.0
31,ChasingCinema,2017-10-14 19:54,0,1,trying get halloween watch official review happy death day,,#HappyDeathDay,919350715473993734,-0.0516,0.267,0.253,0.479
32,RobbieBarstool,2017-10-14 19:54,0,17,happy death day voted review monday,,,919350670809026561,-0.0516,0.336,0.319,0.345
33,Jenice__,2017-10-14 19:53,0,0,seen happy death day ok,,,919350505868025856,0.25,0.331,0.5,0.169
34,VianeyA7,2017-10-14 19:53,0,0,going see happy death day,,,919350467754430465,-0.0516,0.368,0.349,0.283
35,RPbackstory,2017-10-14 19:53,0,0,happy death day entertaining couple funny like whole hog concept horror,,,919350444920422400,0.5267,0.309,0.488,0.203
36,sfinn97,2017-10-14 19:53,1,2,someone see happy death day soon pls,,,919350420979544064,0.0258,0.302,0.388,0.31
37,FreeBandChico,2017-10-14 19:53,0,0,girl talked going see gay ass movie happy death day tonight,,,919350362783576064,-0.5719,0.387,0.194,0.419
38,feItIove,2017-10-14 19:52,0,2,watching happy death day tomorrow,,,919350156817965056,-0.0516,0.368,0.349,0.283
39,alexiswalker510,2017-10-14 19:52,0,0,aye go see happy death day tonight,,,919350144394555392,-0.0516,0.31,0.294,0.397
40,pat_encarnacion,2017-10-14 19:51,0,2,need watch happy death day pretty mean girls final destination combined one movie could,,,919350093089837056,0.4588,0.179,0.317,0.505
41,ErikaBaDoIt,2017-10-14 19:51,0,0,watch happy death day downtown brother theatre filled loud ass teenagers,,,919350040719773696,-0.5719,0.387,0.194,0.419
42,DH_Method,2017-10-14 19:51,0,0,loved happy death day amazing movie beautiful actress great congratulations amazing,@jessica_rothe,,919350033828286464,0.9756,0.115,0.797,0.088
43,Teyhaa__,2017-10-14 19:51,0,0,happy death day stupid,,,919349970221879296,-0.5574,0.608,0.308,0.083
44,BrandonTheotus,2017-10-14 19:51,0,0,happy death day litty lowkey,,,919349925833408513,-0.0516,0.368,0.349,0.283
45,Simon_Arseneau,2017-10-14 19:50,0,1,seen groundhog still thought loads,,#HappyDeathDay #Halloween,919349834284486656,0.0,0.0,0.0,1.0
46,JaylahZhane,2017-10-14 19:50,0,3,tryna go see happy death day damn hard thatttttttt gon throw,,,919349833911201793,-0.5106,0.428,0.198,0.374
47,Ridiculous_Hair,2017-10-14 19:50,0,1,someone go shopping pls tomorrow see happy death day,,,919349780832190467,0.0258,0.262,0.336,0.403
48,PikaGokuMC,2017-10-14 19:50,0,0,liked video moist happy death day,@YouTube,,919349734187429888,0.3818,0.291,0.485,0.224
49,lukaseggen,2017-10-14 19:50,0,2,could headed toward opening weekend,@PopCorn_Media @FeelinFilm @InSessionFilm @blumhouse,#HappyDeathDay #boxoffice,919349673009209345,0.0,0.0,0.0,1.0
50,HardyolyMarie_,2017-10-14 19:49,0,0,happy death day demasiado cabronaaa,,,919349555505836033,-0.0516,0.368,0.349,0.283
51,blake__carlton,2017-10-14 19:49,0,4,happy death day sucks ass,,,919349553203220480,-0.7351,0.678,0.253,0.068
52,DTF_SniiPerzZ,2017-10-14 19:49,0,0,liked video moist happy death day,@YouTube,,919349526468677638,0.3818,0.291,0.485,0.224
53,amayangonkeo,2017-10-14 19:49,0,1,happy death day next week,,,919349403713904640,-0.0516,0.368,0.349,0.283
54,alexisjoelle94,2017-10-14 19:48,0,0,wanna see happy death day bad,,,919349305147871237,-0.5719,0.525,0.262,0.213
55,MCB_334,2017-10-14 19:48,0,1,saw movie high wouod watch,,#HappyDeathDay,919349302492848134,0.0,0.0,0.0,1.0
56,lauryn_michelle,2017-10-14 19:48,0,3,saw happy death day paranoid rest life,,,919349295416999936,-0.296,0.434,0.272,0.294
57,reason313,2017-10-14 19:48,0,0,happy death day,,,919349278199418880,-0.0516,0.453,0.43,0.116
58,StefSings,2017-10-14 19:48,0,0,kiddos watching happy death day cinemark west plano,,,919349174596001792,-0.0516,0.287,0.272,0.441
59,thegabbs17,2017-10-14 19:48,1,1,super excited watch happy death day,,,919349124423606272,0.7269,0.245,0.629,0.126
60,dusty_dh,2017-10-14 19:48,0,0,happydeathdaymovie die loved scary,,#REPOST #HappyDeathDay,919349113547665408,-0.4939,0.592,0.325,0.083
61,lezsss,2017-10-14 19:47,1,1,happy death day,,,919349046745055232,-0.0516,0.453,0.43,0.116
62,_MYbLAQiSPRETTY,2017-10-14 19:47,0,0,think happy death day gone scary,,,919349029514997761,-0.5267,0.514,0.268,0.217
63,siIentoaths,2017-10-14 19:47,0,1,emily dimi seeing happy death day celebrate mao rank,,,919349021201850368,0.5423,0.225,0.428,0.347
64,girlyhabit,2017-10-14 19:47,0,0,wanna go see happy death day,,,919348858643136513,-0.0516,0.336,0.319,0.345
65,davidleegonzo,2017-10-14 19:46,0,1,im hella excited watch happy death day,,,919348818318995456,0.4131,0.268,0.457,0.275
66,gellaayyy,2017-10-14 19:46,0,0,happy death day,,,919348816217743360,-0.0516,0.453,0.43,0.116
67,marciojmsilva,2017-10-14 19:46,0,0,fails answer biggest question,,#HappyDeathDay,919348721762099200,-0.4215,0.483,0.0,0.517
68,CheckMyResume,2017-10-14 19:46,0,0,anybody go see happy death day,,,919348695786803202,-0.0516,0.336,0.319,0.345
69,mbadkins787,2017-10-14 19:45,0,0,girl happy death day reminds alot someone use talk,,,919348579642302465,-0.0516,0.267,0.253,0.479
70,FAHDJ92,2017-10-14 19:45,0,0,happy death day,,,919348397747957760,-0.0516,0.453,0.43,0.116
71,TODDCastPodcast,2017-10-14 19:45,0,1,chirp take heat latest powered,@LA_GUNS @Letterman @UniversalHorror @Penthouse604,,919348362935197698,0.0,0.0,0.0,1.0
72,Bonbonpon3,2017-10-14 19:45,0,1,also love israel broussard love bling happy death day even love hate,,,919348342357815296,0.8658,0.254,0.545,0.201
73,CaineCoko,2017-10-14 19:44,0,0,liked enjoyable film would watch see happy death day yet heard entertaining,,,919348340311166976,0.8126,0.168,0.53,0.302
74,JennaDillinder,2017-10-14 19:44,0,0,happy death day,,,919348255653232640,-0.0516,0.453,0.43,0.116
75,JohnnyNotorious,2017-10-14 19:44,0,1,think worth,,#HappyDeathDay,919348236653158401,0.2263,0.0,0.655,0.345
76,MarissaCIaire,2017-10-14 19:44,3,0,want go see happy death day one go withhh,,,919348181736886274,0.0258,0.262,0.336,0.403
77,manuelfacundo_,2017-10-14 19:44,9,4,im trynna watch happy death day tbh,,,919348164892811264,-0.0516,0.31,0.294,0.397
78,anxmz,2017-10-14 19:44,1,11,tryna see happy death day tonight,,,919348147331088385,-0.0516,0.336,0.319,0.345
79,taylorwiley22,2017-10-14 19:43,0,4,soooo wants see happy death day w,,,919348022789771264,-0.0516,0.336,0.319,0.345
80,_unenthused,2017-10-14 19:43,0,2,half half covered clever horror comedy,,#HappyDeathDay #MeanGirls #GroundhogDay,919347993429663745,0.2023,0.303,0.451,0.246
81,AceKenshader,2017-10-14 19:43,0,0,tfw watch realize mask team name bayfield baby mascot,,#HappyDeathDay,919347938630893575,0.0,0.0,0.0,1.0
82,__alexisnicole,2017-10-14 19:43,19,21,wanna go see happy death day,,,919347918594646017,-0.0516,0.336,0.319,0.345
83,Patrick_Jamess,2017-10-14 19:43,0,1,happy death day good af,,,919347908838871040,0.4019,0.312,0.528,0.16
84,anebia12,2017-10-14 19:43,0,1,vejam happy death day,,,919347906729205760,-0.0516,0.406,0.385,0.208
85,tshsepticeye,2017-10-14 19:43,0,0,head immense pain bet ass im still gonna eat lollipop see happy death day tonight,,,919347877721313280,-0.7906,0.421,0.146,0.433
86,SleezyBatman,2017-10-14 19:43,0,0,seen happy death day,,,919347857341198336,-0.0516,0.406,0.385,0.208
87,colliganjaycie,2017-10-14 19:42,0,1,seeing happy death day see,,,919347656329179136,-0.0516,0.368,0.349,0.283
88,queenncamm,2017-10-14 19:41,5,0,wanna see happy death day bad lol,,,919347508475723776,-0.2263,0.438,0.385,0.178
89,Mabel0468,2017-10-14 19:41,0,3,go see happy death day,,,919347500968022022,-0.0516,0.368,0.349,0.283
90,lytle_edison,2017-10-14 19:41,0,0,okay tf trynna go see happy death day,,,919347467275026432,0.1779,0.269,0.386,0.345
91,donttouchmeho,2017-10-14 19:41,0,0,happy death day,,,919347415936888832,-0.0516,0.453,0.43,0.116
92,LKGaming17,2017-10-14 19:41,0,0,happy death day via,@YouTube,,919347410819796992,-0.0516,0.406,0.385,0.208
93,DaLunatic23,2017-10-14 19:41,0,2,watching happy death day alone spoopy,,,919347409800630273,-0.296,0.468,0.294,0.238
